star_mag,impacted_area,total_area,band,fa_x,fa_y
-2.4999999999999996,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-1.899999999999999,3515401077.1275015,4006634500.0000024,g,0,0
-1.5999999999999988,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
-1.5999999999999988,2970038022.1600013,4006634500.0000024,r,0,0.026179938779914945
-1.3999999999999986,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.2999999999999985,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.6999999999999988,2886387507.069001,4006634500.0000024,r,0,0
-1.6999999999999988,2199357869.4505014,4006634500.0000024,i,0,0
-1.5999999999999988,459945614.0620003,4006634500.0000024,z,0,0
-1.6999999999999988,2940072402.7345014,4006634500.0000024,r,0,0.02181661564992912
-1.5999999999999988,3016142365.3515015,4006634500.0000024,r,0,0.013089969389957472
-1.4999999999999987,1979105157.7165012,4006634500.0000024,r,0,0.017453292519943295
-2.099999999999999,2143549457.5000012,4006634500.0000024,y,0,0
-1.5999999999999988,3353504996.8860016,4006634500.0000024,r,0,0.008726646259971648
-1.799999999999999,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.2999999999999985,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.4999999999999987,3348588856.354502,4006634500.0000024,g,0,0.026179938779914945
-1.799999999999999,3515401077.1275015,4006634500.0000024,g,0,0
-1.4999999999999987,2970038022.1600013,4006634500.0000024,r,0,0.026179938779914945
-1.1999999999999984,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.5999999999999988,2886387507.069001,4006634500.0000024,r,0,0
-1.5999999999999988,2199357869.4505014,4006634500.0000024,i,0,0
-1.4999999999999987,459945614.0620003,4006634500.0000024,z,0,0
-1.3999999999999986,1979105157.7165012,4006634500.0000024,r,0,0.017453292519943295
-1.5999999999999988,2924474574.6260014,4006634500.0000024,r,0,0.02181661564992912
