visit,impacted_area,total_area,band
2025072100321,6614953.559500003,4006634500.0000014,u
2025072100322,6634986.732000004,4006634500.0000014,u
2025072100323,6643000.001000003,4006634500.0000014,u
2025072100324,6634986.732000004,4006634500.0000014,u
2025072100343,8830622.438000005,4006634500.0000014,u
2025072100348,801515211.8215004,4006634500.0000014,u
2025072100349,9083040.411500003,4006634500.0000014,u
2025072100517,,4006634500.0000014,u
2025072100518,,4006634500.0000014,u
2025072100519,305017071.21600014,4006634500.0000014,u
2025072100520,310958910.1795001,4006634500.0000014,u
2025072100521,310786624.89600015,4006634500.0000014,u
2025072100522,310606326.34350014,4006634500.0000014,u
2025072100523,310718512.10950017,4006634500.0000014,u
2025072100524,0.0,4006634500.0000014,g
2025072100525,0.0,4006634500.0000014,g
2025072100526,0.0,4006634500.0000014,g
2025072100527,0.0,4006634500.0000014,g
2025072100528,0.0,4006634500.0000014,g
2025072100529,0.0,4006634500.0000014,g
2025072100530,0.0,4006634500.0000014,i
2025072100531,0.0,4006634500.0000014,i
2025072100532,0.0,4006634500.0000014,i
2025072100533,0.0,4006634500.0000014,i
2025072100534,0.0,4006634500.0000014,i
2025072100535,0.0,4006634500.0000014,i
2025072100536,0.0,4006634500.0000014,i
2025072100173,,4006634500.0000014,i
2025072100174,,4006634500.0000014,i
2025072100175,,4006634500.0000014,i
2025072100176,,4006634500.0000014,i
2025072100178,,4006634500.0000014,i
2025072100179,,4006634500.0000014,i
2025072100180,,4006634500.0000014,i
2025072100181,,4006634500.0000014,i
2025072100182,,4006634500.0000014,i
2025072100183,,4006634500.0000014,i
2025072100191,0.0,4006634500.0000014,i
2025072100193,0.0,4006634500.0000014,i
2025072100194,1726859.4695000008,4006634500.0000014,i
2025072100198,43219566.35150002,4006634500.0000014,i
2025072100199,0.0,4006634500.0000014,i
2025072100200,0.0,4006634500.0000014,i
2025072100201,0.0,4006634500.0000014,i
2025072100202,0.0,4006634500.0000014,i
2025072100203,0.0,4006634500.0000014,i
2025072100204,1706826.297000001,4006634500.0000014,i
